Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,251180,Juncosa,9,139,56,24,98,60,33,237,116
2019,251193,Juneda,282,1232,340,237,988,396,519,2220,736
2019,251214,Les,65,347,51,85,325,73,150,672,124
2019,251229,Linyola,191,909,265,206,826,303,397,1735,568
2019,081043,"Llacuna, la",54,321,100,44,227,124,98,548,224
2019,170887,Lladó,79,255,64,91,264,65,170,519,129
2019,251235,Lladorre,14,74,28,14,69,31,28,143,59
2019,251240,Lladurs,6,55,30,10,50,25,16,105,55
2019,081056,"Llagosta, la",1096,4471,1108,1104,4268,1433,2200,8739,2541
2019,170890,Llagostera,754,2921,628,705,2631,814,1459,5552,1442
2019,170904,Llambilles,62,241,56,51,222,64,113,463,120
2019,170911,Llanars,28,165,66,36,143,67,64,308,133
2019,170926,Llançà,331,1575,488,319,1503,620,650,3078,1108
2019,251253,Llardecans,22,146,68,16,114,85,38,260,153
2019,251266,Llavorsí,22,123,35,21,117,34,43,240,69
2019,251207,Lleida,11024,47349,10284,10465,45363,14471,21489,92712,24755
2019,170932,Llers,85,410,122,86,400,136,171,810,258
2019,251272,Lles de Cerdanya,16,93,39,14,63,28,30,156,67
2019,081075,Lliçà d'Amunt,1282,5307,1230,1149,4991,1297,2431,10298,2527
2019,081081,Lliçà de Vall,534,2203,598,471,2112,624,1005,4315,1222
2019,251288,Llimiana,8,52,28,3,35,19,11,87,47
2019,081069,Llinars del Vallès,816,3343,787,683,3325,984,1499,6668,1771
2019,170947,Llívia,90,535,123,93,446,130,183,981,253
2019,430727,"Lloar, el",6,33,19,9,29,11,15,62,30
2019,251291,Llobera,17,61,26,7,47,30,24,108,56
2019,430733,Llorac,3,34,15,4,33,11,7,67,26
2019,430748,Llorenç del Penedès,212,762,198,185,761,275,397,1523,473
2019,170950,Lloret de Mar,3066,13982,2480,2901,12900,3044,5967,26882,5524
2019,170963,"Llosses, les",19,83,19,19,61,17,38,144,36
